pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
3766667,28,226,3295,341344,39555,44282,43758,40672,965013,14561,31000,226,2956,68168,40674,45958,45284,41910,973861,15827,3550,2.15,51.16,9.29,37.4
3783333,28,227,3297,340752,39569,44341,43845,40700,965027,14563,41410,227,2968,70160,40680,45956,45290,41916,973903,15834,3310,2.6,50,10.76,36.64
3800000,28,228,3296,341000,39564,44293,43729,40676,964986,14558,30150,228,2999,60656,40520,45627,45040,41724,973000,15686,3540,1.76,54.69,7.94,35.61
3816667,28,229,3298,341736,39557,44199,43774,40664,964878,14544,38350,229,2968,62728,40702,45742,45183,41892,974052,15859,3540,2,56.21,7.29,34.5
3833333,28,230,3298,339896,39541,44323,43785,40669,965006,14560,35900,230,2956,70456,40711,45822,45253,41918,974034,15856,3760,2.52,53.76,7.6,36.12
3850000,28,231,3300,341752,39563,44223,43763,40671,964768,14531,28610,231,2939,76640,40717,45858,45269,41929,973990,15849,3480,3.59,46.62,11.2,38.59
3866667,28,232,3299,341528,39526,44186,43672,40627,964580,14508,36260,232,3042,54832,40454,45590,45031,41668,972888,15668,3230,2.43,58.07,6.99,32.51
3883333,28,233,3301,343144,39513,44163,43676,40615,964520,14500,35420,233,2971,64968,40643,45736,45159,41844,973729,15805,3020,1.98,52.65,9.79,35.58
3900000,28,234,3301,342712,39509,44243,43670,40621,964501,14498,31260,234,2955,67384,40709,45823,45237,41915,973966,15845,3040,2,49.51,11.95,36.54
3916667,28,235,3301,342936,39514,44281,43778,40643,964527,14501,35890,235,2967,64648,40683,45839,45246,41898,974025,15855,3290,2.56,50.96,12.01,34.47
3933333,28,236,3300,342152,39527,44220,43653,40630,964384,14484,38340,236,2988,48352,40501,45632,45027,41708,973187,15717,3270,1.25,57.47,8.92,32.36
3950000,28,237,3299,342048,39540,44189,43716,40643,964469,14494,28590,237,2988,56232,40684,45753,45150,41876,974081,15864,3550,1.39,58.01,7.04,33.56
3966667,28,238,3300,340624,39529,44236,43731,40643,964534,14502,36010,238,2968,61256,40746,45813,45195,41936,974189,15882,3460,2.24,52.69,11.24,33.83
3983333,28,239,3300,342512,39530,44216,43689,40636,964410,14487,38160,239,2953,70592,40746,45874,45244,41949,974046,15858,3530,2.53,50.23,9.9,37.34
4000000,28,240,3299,341200,39534,44288,43747,40655,964333,14477,27530,240,2993,54360,40570,45659,45042,41765,973248,15726,3520,2.43,55.37,9.2,33
4016667,28,241,3299,341608,39557,44250,43796,40674,964212,14463,35390,241,2972,74832,40650,45797,45198,41862,973533,15773,3520,5.34,45.54,11,38.12
4033333,28,242,3297,341720,39565,44289,43778,40682,964160,14456,41210,242,2960,70568,40699,45851,45268,41914,973550,15776,3420,2.73,50.3,9.77,37.2
4050000,28,243,3300,342104,39558,44306,43843,40687,964082,14447,29050,243,2967,67752,40721,45877,45312,41939,973638,15790,3400,2.77,53.67,8.23,35.33
4066667,28,244,3299,340136,39589,44239,43732,40688,964075,14446,35290,244,3007,53576,40558,45621,45081,41756,972859,15664,3380,2.17,54.81,9.33,33.69
4083333,28,245,3299,339736,39596,44277,43781,40705,964185,14459,44610,245,2981,61728,40737,45760,45231,41927,973735,15806,3650,1.81,54.88,8.85,34.46
4100000,28,246,3298,340408,39572,44341,43864,40705,963861,14420,28640,246,2962,63552,40751,45829,45298,41954,973634,15790,3450,2.57,53.85,7.62,35.96
4116667,28,247,3300,339504,39566,44300,43851,40693,963942,14430,31720,247,2970,66224,40762,45879,45358,41976,973671,15796,3270,2.64,51.31,8.76,37.29
4133333,28,248,3299,339432,39588,44267,43762,40695,963915,14427,45140,248,3005,53056,40584,45644,45127,41785,972769,15649,3210,3.49,56.27,7.28,32.96
4150000,28,249,3298,340120,39611,44282,43829,40722,963964,14433,26010,249,2984,59704,40763,45792,45267,41954,973588,15782,3410,2.21,52.58,10.24,34.97
4166667,28,250,3299,340296,39620,44289,43815,40728,963919,14427,29570,250,2945,64104,40829,45877,45321,42021,973867,15828,3460,1.76,52.68,9.24,36.32
4183333,28,251,3298,339720,39601,44328,43814,40718,963942,14430,47370,251,2957,64760,40857,45906,45341,42049,973820,15820,3430,1.95,51.69,9.35,37.01
4200000,28,252,3297,340360,39628,44246,43802,40727,963789,14412,26790,252,2997,51624,40611,45677,45135,41810,972756,15647,3170,1.73,53.8,9.78,34.69
4216667,28,253,3298,340048,39640,44227,43798,40733,963750,14407,30580,253,2980,57440,40834,45846,45308,42020,973711,15802,3280,1.91,56.97,6.92,34.2
4233333,28,254,3298,337896,39648,44373,43874,40767,963652,14395,46820,254,2953,65104,40856,45903,45362,42050,973692,15799,3170,2.33,50.73,8.84,38.1
4250000,28,255,3295,337736,39691,44376,43875,40799,963677,14398,25950,255,2943,78568,40854,45960,45428,42064,973344,15742,3300,4.17,40.97,10.41,44.45
4266667,28,256,3292,335624,39710,44310,43892,40808,963828,14416,29890,256,3072,52192,40663,45704,45213,41862,972404,15591,3480,2.17,56.19,8.21,33.43
4283333,28,257,3290,335304,39778,44460,43998,40891,963715,14403,50080,257,2959,72824,40852,45922,45404,42055,973058,15696,3650,3.48,48.37,8.96,39.19
4300000,28,258,3290,336112,39770,44504,44031,40894,963911,14426,30160,258,2954,68832,40863,45968,45461,42076,973080,15699,3720,3.21,51.42,8.68,36.69
4316667,28,259,3288,334544,39837,44508,43998,40941,963916,14427,30150,259,2946,82120,40909,46036,45499,42124,973031,15691,3640,4.01,41.66,11.39,42.94
4333333,28,260,3285,333432,39853,44494,43954,40946,963907,14426,40720,260,3012,52576,40734,45800,45275,41935,972186,15557,3660,1.86,59.13,6.05,32.96
4350000,28,261,3284,333392,39874,44558,43977,40972,963779,14410,19650,261,2970,68864,40891,45948,45421,42089,972671,15634,3720,2.64,49.12,9.8,38.44
4366667,28,262,3281,331080,39864,44607,44106,40987,963609,14390,32230,262,2962,68560,40920,46015,45468,42125,972724,15642,3700,2.52,47.69,11.14,38.65
4383333,28,263,3279,331768,39905,44583,44100,41014,963713,14403,40850,263,2949,71640,40976,46045,45506,42176,972835,15660,3530,2.22,47.25,10.33,40.2
4400000,28,264,3277,331624,39984,44688,44132,41090,964277,14471,29510,264,2978,55712,40869,45975,45454,42080,972243,15566,3490,1.53,55.09,8.48,34.9
4416667,28,265,3275,330632,39986,44595,44144,41082,964157,14456,40910,265,2991,64000,40999,46105,45568,42208,972861,15664,3280,1.39,51.1,9.98,37.53
4433333,28,266,3273,328184,40002,44608,44178,41099,964006,14438,36250,266,2961,69360,41081,46167,45650,42288,972930,15675,3230,2.45,47.27,10.69,39.59
4450000,28,267,3272,329192,40021,44685,44220,41129,964069,14445,32150,267,2957,67752,41105,46195,45690,42315,973003,15687,3120,3.01,50.04,9.87,37.08
4466667,28,268,3269,326792,40138,44803,44243,41234,964639,14515,36780,268,3041,53064,40990,46050,45562,42194,972539,15613,3360,1.69,56.61,7.91,33.79
4483333,28,269,3270,327136,40088,44736,44286,41194,964310,14475,43780,269,2976,60616,41173,46177,45693,42363,973186,15716,3520,1.43,53.67,7.74,37.16
4500000,28,270,3269,326976,40119,44778,44285,41222,964359,14481,35970,270,2963,62384,41223,46232,45739,42414,973346,15742,3550,1.61,54.23,8.54,35.62
4516667,28,271,3267,325936,40139,44794,44316,41243,964348,14479,31450,271,2948,63336,41275,46238,45750,42455,973467,15762,3340,2.56,52.98,8.39,36.07
4533333,28,272,3265,323168,40227,44902,44350,41327,964648,14516,43490,272,2994,51312,41181,46166,45661,42364,973071,15698,3410,1.75,56.62,7.14,34.49
4550000,28,273,3263,324672,40233,44937,44397,41342,964913,14549,27960,273,2969,71832,41273,46350,45812,42475,973503,15768,3560,5.59,46.31,8.93,39.17
4566667,28,274,3261,321728,40274,44977,44436,41382,964905,14548,28020,274,2958,64112,41331,46418,45855,42533,973615,15786,3590,2.54,47.46,11.51,38.49
4583333,28,275,3259,320912,40288,44953,44482,41395,965001,14559,37120,275,2946,67392,41395,46451,45908,42591,973827,15821,3350,3.08,48.79,9,39.13
4600000,28,276,3259,318208,40328,45014,44498,41435,964981,14557,30900,276,2987,49672,41289,46344,45805,42485,973198,15718,3280,2.15,58.14,5.73,33.98
4616667,28,277,3257,319120,40344,44988,44597,41456,965067,14568,27590,277,2951,58864,41448,46460,45951,42638,973934,15839,3460,1.82,51.88,10.01,36.29
4633333,28,278,3255,317840,40323,45052,44520,41439,964999,14559,41870,278,2960,65528,41406,46493,45976,42613,973825,15821,3660,3.78,47.15,10.48,38.59
4650000,28,279,3252,317744,40403,45032,44565,41502,965365,14605,38090,279,2944,69208,41463,46532,46018,42666,973894,15833,3690,4.04,47.21,9.76,38.99
4666667,28,280,3253,316736,40453,45095,44569,41548,965514,14624,28340,280,2988,57536,41337,46454,45896,42547,973272,15730,3520,2.24,48.23,10.86,38.67
4683333,28,281,3253,316584,40436,45023,44545,41523,965372,14606,46620,281,2963,68384,41384,46540,45987,42604,973589,15782,3290,4.97,44.82,9.77,40.44
4700000,28,282,3253,315152,40433,45061,44603,41533,965404,14610,32340,282,2978,63688,41436,46595,46036,42656,973524,15772,3340,4.07,51.53,9.38,35.02
4716667,28,283,3254,316488,40419,45109,44648,41534,965396,14609,29960,283,2948,79560,41428,46611,46079,42658,973478,15764,3970,7.69,41.58,8.54,42.19
4733333,28,284,3253,312944,40505,45167,44679,41609,965533,14626,45190,284,3003,54104,41356,46515,45960,42576,972983,15684,4190,4.3,49.8,10.85,35.05
4750000,28,285,3254,316072,40433,45127,44602,41541,965176,14581,24430,285,2973,67760,41418,46546,46034,42636,973414,15753,4180,4.31,46.86,7.47,41.36
4766667,28,286,3256,316360,40434,45081,44614,41538,965465,14617,29480,286,2951,65288,41428,46526,46039,42642,973559,15777,4020,4.33,47.94,8.76,38.97
4783333,28,287,3256,315880,40402,45102,44600,41514,965073,14568,50310,287,2948,70304,41428,46536,46062,42645,973477,15764,3560,4.56,44.25,9.32,41.87
4800000,28,288,3255,314376,40521,45140,44714,41623,965484,14620,31000,288,3002,52336,41391,46432,45993,42596,972986,15684,3400,4.93,53.12,8.78,33.17
4816667,28,289,3257,316992,40434,45158,44655,41552,965086,14570,30990,289,2952,67024,41425,46519,46078,42644,973387,15749,3660,4.5,48.13,9.23,38.14
4833333,28,290,3257,314912,40390,45076,44677,41512,964650,14516,44500,290,2952,65208,41450,46493,46066,42658,973339,15741,3730,2.99,50.68,7.57,38.76
4850000,28,291,3260,318304,40408,44980,44614,41505,964968,14555,20740,291,2945,70960,41426,46470,46082,42638,973260,15728,3870,4.77,46.61,7.62,41
4866667,28,292,3260,314392,40468,45116,44734,41582,964976,14556,29540,292,3014,53744,41348,46371,46014,42559,972761,15648,3810,4.84,52.85,8.78,33.53
4883333,28,293,3260,315360,40404,45056,44630,41514,964706,14523,49820,293,2951,66768,41445,46441,46072,42648,973178,15715,3790,3.77,48.96,8.39,38.88
4900000,28,294,3263,317616,40363,44991,44626,41474,964493,14497,31260,294,2961,67264,41394,46418,46075,42607,973177,15715,3800,4.05,53.7,5.07,37.18
4916667,28,295,3263,317792,40389,45010,44632,41497,964500,14498,33540,295,2954,68696,41456,46457,46093,42661,973222,15722,3510,4.4,45.07,11,39.53
4933333,28,296,3264,317368,40422,44998,44558,41511,964590,14509,49800,296,3027,53080,41309,46306,45978,42517,972567,15617,3500,2.86,52.86,8.32,35.96
4950000,28,297,3268,318856,40321,44930,44584,41430,964336,14478,29370,297,2987,84576,41296,46299,45985,42507,972769,15649,3500,10.43,39.31,9.77,40.49
4966667,28,298,3267,318760,40318,44933,44575,41427,964168,14457,29370,298,2981,64008,41346,46331,46016,42553,972752,15647,3570,4.04,53.52,9.69,32.75
4983333,28,299,3269,320360,40286,44845,44540,41388,963810,14414,48580,299,2943,72784,41394,46355,46002,42590,972899,15670,3430,5.67,49.5,7.47,37.36
5000000,28,300,3270,321520,40338,44920,44604,41444,964271,14470,23740,300,2988,54744,41224,46236,45896,42434,972287,15573,3430,3.63,55.8,5.07,35.5
5016667,28,301,3274,325040,40202,44870,44413,41312,963624,14392,28140,301,2963,76568,41210,46268,45933,42432,972399,15591,3610,6.9,43.48,9.35,40.27
5033333,28,302,3277,328800,40137,44837,44394,41256,963126,14333,45180,302,2954,77176,41177,46233,45908,42400,972161,15553,3800,5.27,48.28,7.34,39.11
5050000,28,303,3280,330880,40059,44767,44396,41190,962898,14306,25420,303,2951,78208,41104,46178,45844,42331,971927,15517,3810,4.28,46.17,9.21,40.34
5066667,28,304,3284,328320,40037,44719,44353,41162,962723,14286,38520,304,3004,59928,40931,46051,45720,42169,971264,15416,3650,3.65,53.09,8.45,34.81
5083333,28,305,3288,333520,39949,44562,44270,41066,962298,14236,41530,305,2974,76168,40967,46071,45713,42198,971475,15448,3610,5.6,45.93,8.53,39.94
5100000,28,306,3293,338824,39818,44565,44123,40949,961595,14156,29190,306,2964,80368,40852,45984,45630,42090,971107,15392,3590,6.68,42.5,9.13,41.69
5116667,28,307,3297,338832,39743,44479,44050,40874,961343,14128,37710,307,2975,81680,40823,45930,45586,42057,971012,15378,3760,4.78,44.47,9.4,41.35
5133333,28,308,3300,338720,39762,44461,44001,40879,961381,14132,33540,308,3027,62880,40662,45783,45452,41901,970343,15279,3740,2.59,53,7.37,37.04
5150000,28,309,3305,342016,39711,44394,44041,40838,961318,14125,34510,309,2970,78680,40783,45926,45569,42024,971145,15398,3750,5.39,44.78,9.51,40.32
5166667,28,310,3308,345880,39665,44363,44016,40796,961006,14090,38840,310,2969,81160,40814,45942,45548,42047,971324,15425,3820,4.84,42.09,10.39,42.68
5183333,28,311,3311,345800,39598,44222,43902,40714,960915,14080,33440,311,2969,80048,40749,45928,45491,41989,971125,15395,3810,4.54,46.96,8.7,39.8
5200000,28,312,3314,345312,39556,44217,43819,40671,960885,14077,35160,312,3015,60984,40483,45659,45226,41723,970055,15237,3690,3.71,49.61,9.96,36.72
5216667,28,313,3316,346992,39524,44164,43792,40638,960566,14041,34950,313,2986,71840,40684,45783,45351,41905,971190,15404,3630,3.74,45.4,11.39,39.47
5233333,28,314,3319,349120,39405,44135,43693,40532,960362,14019,35940,314,2976,79424,40523,45700,45280,41765,970639,15322,3440,4.3,42.11,10.9,42.69
5250000,28,315,3321,352136,39411,44051,43651,40521,960277,14010,37600,315,2977,82216,40509,45685,45243,41747,970603,15317,3570,4.51,44.2,9.93,41.36
5266667,28,316,3321,351064,39437,44046,43641,40539,960798,14067,33640,316,3018,67864,40386,45572,45130,41627,970090,15242,3560,2.63,50.77,7.55,39.05
5283333,28,317,3326,353048,39365,44069,43628,40486,960416,14025,39130,317,3002,99016,40360,45665,45220,41631,970257,15266,4150,6.95,36.88,9.85,46.32
5300000,28,318,3329,354824,39347,44019,43584,40461,960530,14037,29080,318,2995,89512,40369,45726,45261,41650,970290,15271,4150,4.43,42.17,11.09,42.31
5316667,28,319,3331,358360,39257,44011,43568,40390,960353,14018,36430,319,3001,107128,40207,45649,45211,41513,969841,15206,4540,7.76,32.05,14.8,45.39
5333333,28,320,3331,354256,39281,44085,43675,40431,960650,14051,43170,320,3084,70296,40104,45669,45219,41439,969644,15178,4550,3.36,54.5,8.02,34.12
5350000,28,321,3335,360272,39198,43937,43616,40343,960404,14024,29620,321,3021,84408,40208,45638,45248,41517,970051,15236,4160,4.17,47.96,7.69,40.18
5366667,28,322,3337,359760,39185,43940,43498,40318,960172,13998,34800,322,3011,85000,40218,45645,45235,41524,970066,15238,4200,3.99,47.33,10.01,38.67
5383333,28,323,3337,358392,39156,43988,43546,40309,959581,13934,41440,323,3009,89656,40273,45638,45218,41562,969988,15227,3900,3.73,41.93,12.74,41.6
5400000,28,324,3335,356080,39250,43976,43603,40385,960218,14003,28020,324,3022,70872,40171,45620,45205,41482,969815,15202,3680,2.76,53.93,7.35,35.96
5416667,28,325,3337,360000,39195,43975,43538,40335,959599,13936,31450,325,2995,78256,40271,45634,45206,41559,970097,15243,3680,2.52,48.76,9.95,38.77
5433333,28,326,3337,360240,39136,44030,43563,40301,959551,13931,49580,326,2983,84944,40290,45644,45190,41572,970343,15279,3680,2.51,44.98,11.54,40.97
5450000,28,327,3337,357960,39149,44056,43612,40320,959779,13955,28980,327,2988,95568,40266,45632,45180,41551,970168,15253,3880,3.94,38.44,12.86,44.76
5466667,28,328,3334,356688,39206,44029,43660,40366,960461,14030,28960,328,3057,64120,40159,45593,45137,41461,969993,15228,3920,1.79,54.3,10.92,32.99
5483333,28,329,3337,358240,39173,44031,43637,40338,959972,13976,43020,329,2994,78872,40237,45622,45162,41526,970252,15265,3900,1.9,47.67,10.99,39.44
5500000,28,330,3339,358672,39105,43973,43561,40270,959608,13937,22560,330,2986,76128,40272,45671,45202,41563,970395,15286,3900,2.25,50.12,10.22,37.41
5516667,28,331,3339,360008,39090,43966,43533,40255,959798,13958,32630,331,2973,80472,40335,45686,45229,41616,970689,15330,3700,2.36,50.34,9.58,37.72
5533333,28,332,3338,357896,39157,44029,43524,40312,960431,14026,45960,332,3053,56824,40205,45669,45243,41517,970500,15302,3480,2.27,58.78,6.69,32.26
5550000,28,333,3339,359352,39113,44038,43607,40290,960014,13981,30950,333,2988,68688,40349,45712,45250,41632,970938,15367,3220,2.56,53.36,8.58,35.5
5566667,28,334,3340,362136,39056,44001,43590,40241,959456,13921,34090,334,2988,72080,40353,45726,45255,41637,971022,15379,3010,1.74,54.79,8.38,35.09
5583333,28,335,3342,360088,39058,43942,43462,40219,959422,13917,39310,335,2965,70592,40371,45720,45258,41650,971193,15405,3270,1.61,55.41,8.87,34.11
5600000,28,336,3339,361840,39126,44028,43557,40292,960154,13996,28180,336,3024,56720,40232,45643,45236,41534,970937,15367,3260,1.26,57.38,6.94,34.42
5616667,28,337,3341,360688,39063,43954,43543,40234,960037,13983,32340,337,2996,60104,40381,45680,45256,41653,971448,15444,3420,1.16,57.91,8.65,32.28
5633333,28,338,3343,362584,39070,43928,43610,40244,959601,13936,43460,338,2975,69288,40378,45717,45300,41661,971265,15416,3380,2.07,56.07,7.51,34.35
5650000,28,339,3344,361464,39022,43942,43566,40205,959326,13907,33850,339,2951,70744,40393,45747,45289,41674,971313,15423,3490,1.56,53.65,6.22,38.57
5666667,28,340,3340,359776,39107,43955,43600,40274,960335,14016,31670,340,3027,50880,40255,45701,45256,41561,971107,15392,3470,1.97,58.15,8.91,30.97
5683333,28,341,3341,362408,39066,44026,43578,40250,959866,13965,37340,341,2983,65216,40404,45751,45299,41685,971493,15450,3500,2.32,52.47,10.95,34.26
5700000,28,342,3343,362280,39039,44027,43637,40237,959421,13917,29800,342,2965,71856,40398,45745,45318,41681,971565,15462,3540,1.97,48.98,12.22,36.83
5716667,28,343,3343,360280,39017,44042,43585,40216,959281,13902,29010,343,2968,65568,40411,45755,45323,41693,971518,15454,3550,1.78,54.9,9.31,34.01
5733333,28,344,3341,357344,39063,44010,43606,40249,959771,13955,37560,344,3021,53952,40273,45759,45303,41588,971335,15427,3340,1.6,56.15,10.22,32.03
5750000,28,345,3341,360240,39048,44038,43583,40238,959825,13960,34210,345,2980,59424,40402,45810,45334,41694,971761,15492,3370,1.56,54.25,10.07,34.12
5766667,28,346,3343,360808,39034,43965,43638,40226,959777,13955,31210,346,2979,62128,40427,45821,45334,41714,971741,15488,3270,1.27,55.52,9.62,33.59
5783333,28,347,3343,361296,39015,44050,43581,40215,959532,13929,41430,347,2963,69928,40437,45848,45360,41729,971717,15485,3380,1.91,52.79,10.28,35.02
5800000,28,348,3340,358776,39096,44048,43579,40275,960377,14021,32880,348,3051,48448,40270,45769,45304,41587,971457,15445,3220,1.03,61.79,7.27,29.91
5816667,28,349,3343,361296,39038,44001,43605,40230,959692,13946,33380,349,2993,58616,40403,45822,45354,41699,971946,15520,3170,1.78,58.76,6.36,33.1
5833333,28,350,3344,361472,39006,44037,43580,40207,959429,13918,45500,350,2973,66544,40440,45900,45364,41738,971808,15499,3180,2.28,53.71,8.25,35.76
5850000,28,351,3345,362496,39017,44016,43582,40213,959314,13906,30470,351,2957,69904,40462,45915,45408,41762,971925,15517,3330,2.14,55.5,6.96,35.4
5866667,28,352,3345,362304,39004,43985,43564,40197,959306,13905,33870,352,3051,49528,40191,45644,45151,41493,970818,15349,3270,1.26,62.74,6.14,29.86
5883333,28,353,3346,361608,39003,43967,43550,40192,959618,13938,47750,353,2984,59976,40392,45767,45304,41678,971728,15486,3380,1.36,58.03,7.16,33.45
5900000,28,354,3345,361512,38976,43990,43538,40173,959360,13910,28980,354,2979,60864,40422,45809,45355,41712,971908,15514,3090,1.45,54.89,9.58,34.08
5916667,28,355,3347,362568,38970,44007,43526,40169,959540,13930,28980,355,2981,63600,40409,45832,45351,41705,971982,15526,3160,1.39,57.58,6.26,34.77
5933333,28,356,3346,359720,38983,44022,43504,40178,959448,13920,45940,356,3064,48376,40231,45668,45165,41527,971006,15377,3160,1.31,63.02,5.57,30.1
5950000,28,357,3347,361384,38992,43992,43581,40190,959416,13916,26920,357,2976,65960,40378,45810,45310,41673,971728,15486,3460,2.46,54.2,8.39,34.95
5966667,28,358,3347,359424,38947,43995,43570,40156,959284,13902,30820,358,3027,62264,40364,45865,45366,41677,971750,15490,3720,0.95,57.01,8.7,33.34
5983333,28,359,3347,361544,38919,43951,43531,40124,959123,13885,47770,359,2976,65584,40365,45893,45388,41684,971752,15490,3440,1.18,57.84,7.01,33.97
6000000,28,360,3347,363856,38938,43960,43467,40132,959075,13880,28350,360,3016,47528,40192,45667,45187,41501,971014,15378,3230,1.22,59.68,9.46,29.64
6016667,28,361,3347,361088,38935,43983,43558,40144,959107,13883,40070,361,3022,56784,40328,45797,45324,41636,971754,15490,2990,1.13,62.66,5.39,30.82
6033333,28,362,3349,362192,38913,44018,43537,40129,959163,13889,46620,362,2972,67968,40344,45841,45394,41662,971794,15497,3330,1.24,52.97,9.22,36.57
6050000,28,363,3349,361320,38919,44020,43637,40146,959000,13872,29680,363,2974,74352,40338,45896,45448,41672,971658,15476,3400,2.25,46.72,11.54,39.49
6066667,28,364,3348,360632,38912,43955,43558,40123,959069,13879,41760,364,3134,48424,40102,45672,45210,41437,970536,15307,3550,0.95,62.79,7.21,29.05
6083333,28,365,3349,359816,38918,43981,43547,40129,959120,13885,43860,365,2995,64800,40269,45812,45362,41599,971278,15418,3470,1.69,51.95,10.62,35.74
6100000,28,366,3349,361832,38934,44011,43574,40149,959154,13889,33440,366,2988,60608,40302,45848,45403,41633,971459,15445,3470,0.97,55.57,10.28,33.18
6116667,28,367,3349,363200,38889,43990,43585,40114,958850,13856,34330,367,2985,60968,40305,45863,45408,41638,971590,15465,3340,1.33,61.39,5.17,32.11
6133333,28,368,3349,359600,38910,43949,43493,40113,958879,13859,44670,368,3061,49968,40132,45651,45191,41454,970664,15326,3080,0.84,64.6,5.41,29.15
6150000,28,369,3348,361488,38893,44009,43603,40121,958797,13851,26660,369,2987,66888,40288,45784,45347,41607,971435,15442,3040,1.87,53.93,8.16,36.04
6166667,28,370,3350,362456,38877,43917,43571,40094,958755,13846,27820,370,2982,64528,40305,45831,45402,41633,971310,15423,3200,1.21,57.38,7.61,33.8
6183333,28,371,3351,362528,38858,43981,43511,40080,958810,13852,47560,371,2980,61952,40290,45829,45400,41621,971429,15441,3300,1.36,57.03,7.95,33.66
6200000,28,372,3349,360312,38870,43898,43509,40079,958768,13848,24140,372,3041,54664,40098,45634,45211,41429,970408,15288,3440,1.49,60.39,7.23,30.89
6216667,28,373,3351,361824,38856,43973,43564,40084,958659,13836,28840,373,2993,66992,40252,45795,45345,41582,971045,15383,3260,1.64,53.21,10.28,34.87
6233333,28,374,3353,363696,38809,43972,43512,40042,958257,13794,45700,374,2987,76472,40218,45829,45388,41565,970950,15369,3430,3.17,51.85,8.23,36.75
6250000,28,375,3354,364408,38816,44006,43547,40056,958286,13797,25060,375,3002,70144,40191,45863,45429,41555,970866,15356,3440,1.9,56.02,6.7,35.38
6266667,28,376,3352,365160,38833,43942,43507,40056,958341,13803,33050,376,3032,66296,39964,45634,45166,41323,969467,15152,3550,2.7,53.9,7.44,35.96
6283333,28,377,3353,364656,38820,43893,43507,40040,958367,13806,51150,377,2998,66488,40126,45759,45332,41481,970481,15299,3360,1.12,58.04,7.85,32.99
6300000,28,378,3355,365648,38784,43966,43542,40027,957909,13758,33030,378,2993,67624,40169,45833,45385,41529,970567,15312,3300,1.11,59.59,6.75,32.55
6316667,28,379,3356,366832,38749,43940,43596,40004,957494,13716,33030,379,3001,68920,40170,45814,45388,41528,970647,15324,3140,1.73,57.78,5.37,35.12
6333333,28,380,3354,362392,38813,44047,43588,40064,958342,13803,42780,380,3090,47288,39979,45855,45394,41390,970241,15264,3310,0.97,65.85,4.78,28.4
6350000,28,381,3357,365880,38779,44079,43613,40046,957700,13737,20020,381,3018,62976,40124,45889,45437,41509,970541,15308,3240,1.66,56.26,7.71,34.37
6366667,28,382,3357,366672,38751,43973,43546,40003,957514,13718,31200,382,3007,70880,40134,45859,45413,41509,970458,15296,3440,2.11,54.03,8.12,35.74
6383333,28,383,3359,366920,38718,43961,43524,39974,957389,13705,48640,383,3024,70824,40163,45854,45401,41529,970384,15285,3280,1.98,54.71,8.31,35
6400000,28,384,3357,365656,38786,44023,43524,40033,957785,13745,30910,384,3069,49576,40051,45798,45370,41434,970126,15247,3380,0.84,63.2,6.71,29.25
6416667,28,385,3358,367384,38759,43980,43551,40011,957463,13712,35710,385,3050,54856,40163,45835,45411,41528,970530,15306,3150,0.65,63.45,5.51,30.39
6433333,28,386,3359,367512,38695,44013,43502,39961,957366,13702,49340,386,2987,57120,40221,45841,45424,41574,970782,15344,3100,0.35,60.94,6.73,31.98
6450000,28,387,3360,366032,38692,43974,43538,39958,957094,13675,31860,387,3028,58912,40238,45821,45402,41581,970777,15343,2920,0.61,60.05,6.88,32.46
6466667,28,388,3358,365408,38753,43984,43616,40015,957531,13719,31880,388,3107,37208,40051,45773,45389,41434,970419,15290,2870,0.33,74.23,2.88,22.56
6483333,28,389,3358,366800,38740,43908,43571,39989,957283,13694,41450,389,3106,47600,40217,45787,45399,41561,970871,15357,2800,0.62,64.97,6.71,27.7
6500000,28,390,3358,367936,38708,43925,43554,39966,957270,13693,26270,390,3015,52536,40290,45794,45384,41615,971096,15390,2830,0.29,65.75,5.88,28.08
6516667,28,391,3359,365904,38675,43935,43573,39945,956788,13644,34570,391,2991,58848,40325,45816,45413,41648,971186,15404,2780,0.46,61.42,6,32.12
6533333,28,392,3360,365752,38690,43896,43441,39934,956964,13662,46150,392,3136,33880,40058,45544,45133,41378,969945,15221,2850,0.31,72.01,4,23.68
6550000,28,393,3362,364768,38669,43899,43486,39925,956730,13638,38030,393,3055,48008,40216,45627,45232,41520,970613,15318,2850,0.32,61.71,8.69,29.28
6566667,28,394,3363,366360,38674,43891,43477,39926,957071,13672,37900,394,3039,50480,40231,45692,45301,41547,970791,15345,2990,0.38,64.03,5.64,29.95
6583333,28,395,3363,367448,38668,43881,43488,39922,956759,13641,41640,395,3032,54744,40260,45673,45302,41567,970908,15362,2950,0.48,58.11,8.07,33.34
6600000,28,396,3362,365736,38664,43832,43465,39910,956676,13633,33860,396,3067,38200,40077,45486,45098,41381,969978,15226,2920,0.41,67.19,6.32,26.08
6616667,28,397,3361,366336,38697,43849,43521,39944,956818,13647,40400,397,3068,50072,40182,45628,45254,41497,970642,15323,2940,0.66,63.12,6.37,29.85
