pts,crf_ref,encode_order,intra_qp_ref,intra_total_bits,intra_y_psnr,intra_u_psnr,intra_v_psnr,intra_yuv_psnr,intra_ssim,intra_ssim_db,intra_total_time,poc,inter_qp_ref,inter_total_bits,inter_y_psnr,inter_u_psnr,inter_v_psnr,inter_yuv_psnr,inter_ssim,inter_ssim_db,inter_total_time,ctu_intra_pct,ctu_merge_pct,ctu_skip_pct,ctu_inter_pct
1766667,28,106,3358,373960,38491,43870,43253,39759,957112,13677,33390,106,3040,59776,40025,46271,45599,41502,971231,15411,3360,1.86,60.3,6.86,30.98
1783333,28,107,3358,374240,38496,43792,43260,39754,956984,13664,49040,107,3054,61160,40031,46260,45568,41502,971128,15395,3110,2.11,56.26,8.7,32.93
1800000,28,108,3355,370648,38552,43857,43324,39811,957519,13718,41450,108,3115,40808,39881,46233,45553,41384,970598,15316,3010,1.61,66.2,5.84,26.35
1816667,28,109,3356,373744,38524,43870,43358,39797,957433,13709,35960,109,3038,51416,39990,46228,45540,41463,971141,15397,2970,1.89,61.21,6.39,30.51
1833333,28,110,3358,374616,38484,43765,43265,39742,957087,13674,43260,110,3008,60344,40021,46203,45517,41481,971152,15399,2990,2.96,56.6,6.66,33.78
1850000,28,111,3359,375416,38465,43774,43283,39731,957027,13668,28700,111,3016,63864,39998,46204,45531,41466,971061,15385,2950,3.26,55.49,6.08,35.17
1866667,28,112,3357,373792,38529,43868,43297,39793,957442,13710,32150,112,3117,48440,39838,46156,45480,41333,970448,15294,3150,3.71,60.17,6.9,29.22
1883333,28,113,3358,375752,38451,43884,43271,39733,956949,13660,46480,113,3051,55032,39954,46169,45497,41424,970936,15366,3260,2.95,59.99,6.71,30.35
1900000,28,114,3360,375456,38444,43791,43280,39717,956838,13649,31960,114,3064,56640,39950,46163,45483,41418,970953,15369,3400,2.97,61.76,4.7,30.57
1916667,28,115,3360,375072,38423,43870,43327,39717,956634,13629,35610,115,3071,57520,39947,46198,45482,41420,970865,15356,3120,3.47,60.11,5.59,30.83
1933333,28,116,3358,373784,38482,43792,43340,39753,957015,13667,44100,116,3159,37600,39827,46119,45422,41313,970450,15294,2990,2.92,69.79,3.34,23.95
1950000,28,117,3357,374792,38473,43878,43331,39755,957233,13689,26510,117,3051,51648,39962,46180,45474,41428,971041,15382,2870,1.8,62.39,5.52,30.29
1966667,28,118,3360,375440,38436,43746,43268,39704,956889,13654,33870,118,3059,56520,39959,46180,45499,41429,970925,15365,2950,2.48,59.09,7.15,31.28
1983333,28,119,3360,373384,38411,43772,43283,39690,956712,13636,42900,119,3065,54808,39964,46167,45478,41429,970956,15369,2890,2.45,60.31,5.95,31.29
2000000,28,120,3357,371640,38478,43925,43323,39764,957479,13714,27480,120,3189,42624,39784,46127,45417,41281,970386,15285,2790,1.91,67.02,5.08,25.99
2016667,28,121,3358,372800,38463,43825,43294,39737,957322,13698,34170,121,3074,48600,39944,46171,45490,41416,971170,15402,2760,1.99,64.09,5.07,28.85
2033333,28,122,3358,375008,38443,43751,43302,39714,957253,13691,48710,122,3089,52880,40051,46137,45471,41489,971376,15433,2800,2.14,63.32,6.32,28.22
2050000,28,123,3360,375632,38438,43790,43310,39716,957281,13694,31500,123,3022,63248,40013,46115,45430,41453,971371,15432,2850,2.69,59.23,5.09,32.99
2066667,28,124,3359,375088,38454,43785,43260,39721,957261,13692,31820,124,3084,36616,39868,46089,45382,41335,970634,15321,2830,1.54,70.01,3.78,24.67
2083333,28,125,3360,375744,38453,43800,43273,39724,957226,13688,38980,125,3033,58336,40006,46124,45417,41447,971270,15417,2890,2.24,60.56,4.72,32.48
2100000,28,126,3361,376680,38408,43794,43249,39687,956860,13651,21940,126,3005,59656,40064,46090,45415,41486,971434,15441,3070,1.12,55.67,9.5,33.71
2116667,28,127,3363,379888,38415,43691,43196,39672,956786,13644,29710,127,3015,60192,40041,46080,45414,41467,971343,15428,3050,2.26,59.23,6.23,32.28
2133333,28,128,3361,377160,38434,43794,43214,39701,957062,13672,51620,128,3113,42960,39834,46019,45366,41299,970440,15293,3060,1.61,65.01,6.94,26.44
2150000,28,129,3361,375952,38427,43791,43268,39703,956957,13661,37030,129,3084,45944,39937,46095,45444,41395,971050,15383,2970,1.51,63.91,6.22,28.36
2166667,28,130,3362,379696,38398,43749,43231,39671,956710,13636,32160,130,3054,54584,39974,46089,45430,41420,971197,15406,3010,1.44,59.61,8.95,30
2183333,28,131,3363,378512,38357,43742,43201,39636,956412,13606,39630,131,3046,54936,39960,46084,45411,41407,971134,15396,2870,1.89,61.13,6.31,30.67
2200000,28,132,3363,377296,38398,43755,43212,39670,956581,13623,25040,132,3146,38856,39727,46030,45347,41217,970111,15245,2810,1.6,66.59,6.1,25.71
2216667,28,133,3364,377792,38384,43774,43213,39662,956832,13648,29710,133,3050,42664,39935,46117,45440,41396,971148,15398,2860,0.99,65.7,6.75,26.56
2233333,28,134,3365,377592,38348,43757,43237,39635,956332,13598,45780,134,3069,50736,39951,46111,45418,41405,971063,15386,2880,1.61,63.67,5.87,28.85
2250000,28,135,3365,378256,38351,43730,43232,39633,956583,13623,33060,135,3059,54360,39923,46083,45372,41374,971069,15386,2790,2.86,62.55,5.81,28.78
2266667,28,136,3363,377120,38365,43680,43196,39634,956260,13591,30690,136,3138,37264,39730,45941,45284,41201,970154,15251,2840,1.62,68.96,5.61,23.81
2283333,28,137,3365,380376,38345,43686,43239,39624,956190,13584,46240,137,3006,65864,39873,45943,45302,41310,970702,15332,2880,5.05,56.49,7.28,31.18
